Actividad,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,VALENCE,TOT_CHG,ATOM_CHG,NON_STD_ATOM,AROMATICITY,N_WARNINGS,MW,GD,nAT,nSK,nBT,nBO,RBN,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nHet,nX,H%,C%,N%,O%,X%,totalcharge,nCIC,nCIR,TRS,Rbrid,NRS,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,BLTF96,BLTD48,BLTA96,Ro5,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_06,DLS_07,DLS_cons,LLS_01,LLS_02,CMC-80,CMC-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50
1,0,0,0,0,0,0,0,0,0,0,504.11,0.06628788,67,33,69,35,9,3,0,6,34,22,3,6,0,1,0,1,0,0,0,2,11,1,50.74626866,32.8358209,4.47761194,8.95522388,1.49253731,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,-0.26194322,126.5565,99.62,108,0.93466383,2.3664,667.4622298,141.9081865,42.68334316,605.9966777,251.7363433,450.08,-2.18446426,-2.20793064,-2.16466383,0,0.75,0.66666667,0.66666667,0.9,1,0.83333333,1,0.83095238,0.33333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.29,0.29,3.83,8.35,0,0,0,0,0,0,528.18,0.06386555,73,35,76,38,7,3,0,6,38,25,3,5,0,1,0,1,0,0,0,2,10,1,52.05479452,34.24657534,4.10958904,6.84931507,1.36986301,0,4,4,24,0,4,0,0,0,4,0,0,0,0,0,0,-0.31629127,137.0552,90.39,98.77,2.29680176,3.568,703.2306469,130.9082986,42.68334316,648.4219269,269.1237405,480.83,-3.34228149,-3.50196167,-3.52680176,0,0.75,0.83333333,0.83333333,0.9,1,0.83333333,1,0.87857143,0.33333333,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17.4,0.33,6,6.63,0,0,0,0,0,0,426.52,0.07096774,57,31,59,33,6,4,0,11,26,22,4,5,0,0,0,0,0,0,0,0,9,0,45.61403509,38.59649123,7.01754386,8.77192982,0,0,3,4,18,1,2,0,0,1,1,1,0,0,0,1,0,0.25692521,112.2498,111.96,111.96,1.0308675,0.8544,571.2606575,152.1121393,36.02150137,529.6179402,220.4335821,394.47,-2.26623738,-2.29932413,-2.2608675,0,1,0.83333333,1,1,1,1,1,0.97619048,0.33333333,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,20.38,0.38,6.6,10.24,0,0,0,0,0,0,456.54,0.06628788,59,33,61,35,7,4,0,12,26,24,4,3,0,0,2,0,0,0,0,0,9,2,44.06779661,40.6779661,6.77966102,5.08474576,3.38983051,0,3,4,19,1,2,0,0,0,2,1,0,0,0,1,0,0.2219362,119.8476,90.87,90.87,3.20787419,3.2729,591.9574682,161.0413082,36.02150137,555.6312292,231.0947661,420.99,-4.11669306,-4.36748048,-4.43787419,0,1,0.83333333,1,1,0.5,1,1,0.9047619,0.16666667,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,17.44,0.36,4.19,15.05,0,0,0,0,0,0,537.65,0.06507937,59,36,64,41,3,2,0,17,23,25,3,2,0,2,4,0,0,0,0,2,11,4,38.98305085,42.37288136,5.08474576,3.38983051,6.77966102,0,6,9,34,3,3,0,0,3,2,1,1,0,0,1,1,-0.2999255,130.9866,62.3,98.92,5.14454287,5.7401,556.3148333,138.8624928,16.40499744,573.0398671,238.2294537,424.96,-5.76286144,-6.20731573,-6.37454287,1,0.5,0.5,0.66666667,0.6,0.5,0.66666667,1,0.63333333,0.33333333,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.31,0.3,4.34,7.73,0,0,0,0,0,0,488.11,0.06854839,66,32,68,34,8,3,0,6,34,22,3,5,0,1,0,1,0,0,0,2,10,1,51.51515152,33.33333333,4.54545455,7.57575758,1.51515152,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,-0.27877481,124.694,90.39,98.77,1.67367185,3.7617,654.4044888,130.9082986,42.68334316,596.2458472,247.7401013,441.29,-2.81262107,-2.90998826,-2.90367185,0,1,0.83333333,1,1,1,1,1,0.97619048,0.33333333,0.875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,14.71,0.31,4.74,7.91,0,0,0,0,0,0,486.09,0.07056452,64,32,67,35,8,3,0,6,32,22,3,5,0,1,0,1,0,0,0,2,10,1,50,34.375,4.6875,7.8125,1.5625,0,4,4,21,0,4,1,0,0,3,0,0,0,0,0,0,-0.27877481,122.8918,90.39,98.77,1.67367185,3.3901,618.2809398,130.9082986,42.68334316,578.2059801,240.3467131,428.93,-2.81262107,-2.90998826,-2.90367185,0,1,0.83333333,1,1,1,1,1,0.97619048,0.33333333,0.875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,250.32,0.12418301,36,18,37,19,4,1,0,6,18,14,0,4,0,0,0,0,0,0,0,0,4,0,50,38.88888889,0,11.11111111,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,-0.27959974,66.7631,55.76,55.76,0.64638546,0.7018,366.1815753,89.82804597,42.68334316,320.0664452,134.5518218,239.74,-1.93942764,-1.93406619,-1.87638546,0,1,1,1,1,1,1,1,1,0.66666667,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1,16.61,0.3,1.96,11.45,0,0,0,0,0,0,321.4,0.0942029,43,24,45,26,5,3,0,12,19,20,1,3,0,0,0,0,0,0,0,0,4,0,44.18604651,46.51162791,2.3255814,6.97674419,0,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,-0.82276495,93.2285,46.61,46.61,2.50318148,3.7624,429.2797147,64.41405585,0,413.5714286,172.8735363,309.29,-3.51770426,-3.69802241,-3.73318148,0,1,1,1,0.8,0.5,1,1,0.9,0.5,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,234.32,0.13235294,35,17,36,18,4,1,0,6,18,14,0,3,0,0,0,0,0,0,0,0,3,0,51.42857143,40,0,8.57142857,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,-0.80724374,65.2908,35.53,35.53,1.45421589,1.9275,337.8038659,47.14470281,0,310.3156146,130.5555798,230.95,-2.62608351,-2.7015051,-2.68421589,0,1,1,1,1,1,1,1,1,0.83333333,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0
