Actividad_500	MW	GD	nAT	nSK	nBT	nBO	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nStructures	totalcharge	nCIC	nCIR	TRS	Rbrid	NRS	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	Hy	AMR	TPSA(NO)	TPSA(Tot)	MLOGP	ALOGP	SAtot	SAacc	SAdon	Vx	VvdwMG	VvdwZAZ	BLTF96	BLTD48	BLTA96	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50
1	5156	597	65	38	69	42	5	4	0	18	27	30	3	3	0	0	2	0	0	0	0	0	8	2	415385	461538	46154	46154	30769	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	-4005	1398874	7884	7884	47976	56627	6.256.726	1432756	180108	6219767	2582856	47025	-5468	-58778	-60276	1	5	6667	8333	7	5	8333	1	719	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	53062	58	67	39	71	43	5	4	0	18	28	30	4	3	0	0	2	0	0	0	0	0	9	2	41791	447761	59701	44776	29851	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	-3833	1433019	8208	8208	44445	463	6.455.722	1463999	180108	6385548	2650798	48125	-51678	-55423	-56745	1	5	8333	8333	7	5	8333	1	7429	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	51659	597	64	38	68	42	5	4	0	18	26	29	4	3	0	0	2	0	0	0	0	0	9	2	40625	453125	625	46875	3125	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	1489	1384052	9087	9087	42543	44241	616.749	1612864	360215	6151495	2554875	46395	-50061	-53616	-54843	1	5	8333	8333	7	5	8333	1	7429	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	52751	597	59	38	63	42	5	3	0	18	21	27	3	4	0	0	4	0	0	0	0	0	11	4	355932	457627	50847	67797	67797	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	-3221	1284581	8023	8023	41315	69437	5.791.395	1700507	180108	5745017	2388285	44192	-49018	-52449	-53615	0	75	8333	8333	7	5	8333	1	7786	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	50556	616	62	37	66	41	5	3	0	18	25	28	3	4	0	0	2	0	0	0	0	0	9	2	403226	451613	48387	64516	32258	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	-365	1325761	8023	8023	37255	49271	5.995.487	1401305	180108	5920598	2460245	44708	-45567	-48592	-49555	0	75	8333	8333	7	5	8333	1	7786	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	49153	635	59	36	63	40	5	3	0	18	23	27	3	4	0	0	2	0	0	0	0	0	9	2	389831	457627	50847	67797	33898	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	-3551	1273856	8023	8023	39361	49094	5.734.719	1401305	180108	5686545	2364322	42978	-47356	-50592	-51661	0	1	8333	1	8	5	1	1	8762	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	56262	549	69	41	73	45	7	4	0	18	28	30	4	5	0	0	2	0	0	0	0	0	11	2	405797	434783	57971	72464	28986	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	-3516	145236	10054	10054	33632	43885	6.758.034	1683997	180108	6580565	2730723	49883	-42487	-4515	-45932	0	75	6667	8333	7	5	8333	1	7548	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	53456	58	63	39	67	43	7	4	0	18	24	28	4	5	0	0	2	0	0	0	0	0	11	2	380952	444444	63492	79365	31746	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	7985	1354426	12332	12332	29802	39767	6.181.569	1981726	509079	6112458	2538876	46423	-39231	-41512	-42102	0	75	6667	8333	7	5	8333	1	7548	3333	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	52156	597	63	38	67	42	7	3	0	18	25	28	3	5	0	0	2	0	0	0	0	0	10	2	396825	444444	47619	79365	31746	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	1751	1336779	10046	10046	33832	437	6.216.357	1828138	606941	6018106	2500208	45587	-42657	-4534	-46132	0	75	8333	8333	7	5	8333	1	7786	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4775	655	56	35	60	39	5	3	0	18	21	26	3	4	0	0	2	0	0	0	0	0	9	2	375	464286	53571	71429	35714	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	1905	1224889	8902	8902	37378	47035	5.446.487	1550169	360215	5452492	2268398	41248	-45671	-48709	-49678	0	1	8333	1	8	5	1	1	8762	1667	75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
